"Path","GB"
"C:\Users\Gorilla D Mo\Desktop\code_export_20251031_213054\trees\C__Users_Public_SharedVault_wilhelmina","0.23"
"C:\Users\Gorilla D Mo\Desktop\code_export_20251031_213054\trees\C__Users_Public_SharedVault__Users_from_backup_20251031_132012_MW_wilhelmina","0.23"
"C:\Users\Gorilla D Mo\Desktop\code_export_20251031_213054\trees\C__Users_Public_SharedVault_Users_MW_wilhelmina","0.23"
"C:\Users\Gorilla D Mo\Desktop\code_export_20251031_213054\trees\C__Users_Public_SharedVault__Users_from_backup_20251031_132012_MW_Desktop_wilhelmina-ALL","0.02"
"C:\Users\Gorilla D Mo\Desktop\code_export_20251031_213054\trees\C__Users_Public_SharedVault_Users_MW_Desktop_wilhelmina-ALL","0.02"
"C:\Users\Gorilla D Mo\Desktop\code_export_20251031_213054\trees\C__Users_Public_SharedVault_Desktop_wilhelmina-ALL","0.02"
"C:\Users\Gorilla D Mo\Desktop\code_export_20251031_213054\trees\C__Users_Public_SharedVault__Users_from_backup_20251031_132012_MW_Desktop_wilhelmina","0"
"C:\Users\Gorilla D Mo\Desktop\code_export_20251031_213054\trees\C__Users_Public_SharedVault_Users_MW_wilhelmina_wilhelmina","0"
"C:\Users\Gorilla D Mo\Desktop\code_export_20251031_213054\trees\C__Users_Public_SharedVault_Users_MW_wilhelmina_attic_node_src","0"
"C:\Users\Gorilla D Mo\Desktop\code_export_20251031_213054\trees\C__Users_Public_SharedVault_Users_MW_Desktop_wilhelmina-ALL_archive_node_src","0"
"C:\Users\Gorilla D Mo\Desktop\code_export_20251031_213054\trees\C__Users_Public_SharedVault_Users_MW_Desktop_wilhelmina_archive_node_src","0"
"C:\Users\Gorilla D Mo\Desktop\code_export_20251031_213054\trees\C__Users_Public_SharedVault_Desktop_wilhelmina-ALL_archive_node_src","0"
"C:\Users\Gorilla D Mo\Desktop\code_export_20251031_213054\trees\C__Users_Public_SharedVault_wilhelmina_attic_node_src","0"
"C:\Users\Gorilla D Mo\Desktop\code_export_20251031_213054\trees\C__Users_Public_SharedVault_Desktop_wilhelmina_archive_node_src","0"
"C:\Users\Gorilla D Mo\Desktop\code_export_20251031_213054\trees\C__Users_Public_SharedVault_Desktop_wilhelmina","0"
"C:\Users\Gorilla D Mo\Desktop\code_export_20251031_213054\trees\C__Users_Public_SharedVault__Users_from_backup_20251031_132012_MW_wilhelmina_wilhelmina","0"
"C:\Users\Gorilla D Mo\Desktop\code_export_20251031_213054\trees\C__Users_Public_SharedVault__Users_from_backup_20251031_132012_MW_wilhelmina_attic_node_src","0"
"C:\Users\Gorilla D Mo\Desktop\code_export_20251031_213054\trees\C__Users_Public_SharedVault__Users_from_backup_20251031_132012_MW_Desktop_wilhelmina-ALL_archive_node_src","0"
"C:\Users\Gorilla D Mo\Desktop\code_export_20251031_213054\trees\C__Users_Public_SharedVault__Users_from_backup_20251031_132012_MW_Desktop_wilhelmina_archive_node_src","0"
"C:\Users\Gorilla D Mo\Desktop\code_export_20251031_213054\trees\C__Users_Public_SharedVault_Users_MW_Desktop_wilhelmina","0"
"C:\Users\Gorilla D Mo\Desktop\code_export_20251031_213054\trees\C__Users_Public_SharedVault_wilhelmina_wilhelmina","0"
